,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
1,USGS,02085070,2018-10-29 00:00,EDT,156,P,2.51,P
2,USGS,02085070,2018-10-29 00:15,EDT,156,P,2.51,P
3,USGS,02085070,2018-10-29 00:30,EDT,154,P,2.50,P
4,USGS,02085070,2018-10-29 00:45,EDT,154,P,2.50,P
5,USGS,02085070,2018-10-29 01:00,EDT,154,P,2.50,P
6,USGS,02085070,2018-10-29 01:15,EDT,152,P,2.49,P
7,USGS,02085070,2018-10-29 01:30,EDT,152,P,2.49,P
8,USGS,02085070,2018-10-29 01:45,EDT,152,P,2.49,P
9,USGS,02085070,2018-10-29 02:00,EDT,150,P,2.48,P
10,USGS,02085070,2018-10-29 02:15,EDT,150,P,2.48,P
11,USGS,02085070,2018-10-29 02:30,EDT,148,P,2.47,P
12,USGS,02085070,2018-10-29 02:45,EDT,148,P,2.47,P
13,USGS,02085070,2018-10-29 03:00,EDT,146,P,2.46,P
14,USGS,02085070,2018-10-29 03:15,EDT,146,P,2.46,P
15,USGS,02085070,2018-10-29 03:30,EDT,146,P,2.46,P
16,USGS,02085070,2018-10-29 03:45,EDT,146,P,2.46,P
17,USGS,02085070,2018-10-29 04:00,EDT,144,P,2.45,P
18,USGS,02085070,2018-10-29 04:15,EDT,143,P,2.44,P
19,USGS,02085070,2018-10-29 04:30,EDT,144,P,2.45,P
20,USGS,02085070,2018-10-29 04:45,EDT,143,P,2.44,P
21,USGS,02085070,2018-10-29 05:00,EDT,143,P,2.44,P
22,USGS,02085070,2018-10-29 05:15,EDT,143,P,2.44,P
23,USGS,02085070,2018-10-29 05:30,EDT,141,P,2.43,P
24,USGS,02085070,2018-10-29 05:45,EDT,141,P,2.43,P
25,USGS,02085070,2018-10-29 06:00,EDT,141,P,2.43,P
26,USGS,02085070,2018-10-29 06:15,EDT,139,P,2.42,P
27,USGS,02085070,2018-10-29 06:30,EDT,139,P,2.42,P
28,USGS,02085070,2018-10-29 06:45,EDT,139,P,2.42,P
29,USGS,02085070,2018-10-29 07:00,EDT,139,P,2.42,P
30,USGS,02085070,2018-10-29 07:15,EDT,137,P,2.41,P
31,USGS,02085070,2018-10-29 07:30,EDT,137,P,2.41,P
